topic,t,lost,matches,inliers,features,icp_inliers_ratio,local_map_size
/rtabmap/odom_info,1780713869.262788534,0,0,0,0,0.362135,0
/rtabmap/odom_info_lite,1780713869.406668901,0,0,0,0,0.399490,0
/rtabmap/odom_info,1780713869.407593727,0,0,0,0,0.399490,0
/rtabmap/odom_info_lite,1780713869.617534161,0,0,0,0,0.398548,0
/rtabmap/odom_info,1780713869.618052244,0,0,0,0,0.398548,0
/rtabmap/odom_info_lite,1780713869.847253561,0,0,0,0,0.383848,0
/rtabmap/odom_info,1780713869.847837925,0,0,0,0,0.383848,0
/rtabmap/odom_info_lite,1780713870.064321995,0,0,0,0,0.383465,0
/rtabmap/odom_info,1780713870.065004110,0,0,0,0,0.383465,0
/rtabmap/odom_info_lite,1780713870.237015963,0,0,0,0,0.405690,0
/rtabmap/odom_info,1780713870.237723589,0,0,0,0,0.405690,0
/rtabmap/odom_info_lite,1780713870.394875765,0,0,0,0,0.406262,0
/rtabmap/odom_info,1780713870.395688295,0,0,0,0,0.406262,0
/rtabmap/odom_info_lite,1780713870.514067888,0,0,0,0,0.405597,0
/rtabmap/odom_info,1780713870.514780045,0,0,0,0,0.405597,0
/rtabmap/odom_info_lite,1780713870.680637598,0,0,0,0,0.414249,0
/rtabmap/odom_info,1780713870.681538820,0,0,0,0,0.414249,0
/rtabmap/odom_info_lite,1780713870.917030096,0,0,0,0,0.401112,0
/rtabmap/odom_info,1780713870.917499781,0,0,0,0,0.401112,0
/rtabmap/odom_info_lite,1780713871.080246687,0,0,0,0,0.420833,0
/rtabmap/odom_info,1780713871.080772638,0,0,0,0,0.420833,0
/rtabmap/odom_info_lite,1780713871.269763947,0,0,0,0,0.429003,0
/rtabmap/odom_info,1780713871.270211458,0,0,0,0,0.429003,0
/rtabmap/odom_info_lite,1780713871.473250628,0,0,0,0,0.414302,0
/rtabmap/odom_info,1780713871.473889828,0,0,0,0,0.414302,0
/rtabmap/odom_info_lite,1780713871.610752344,0,0,0,0,0.374543,0
/rtabmap/odom_info,1780713871.611433506,0,0,0,0,0.374543,0
/rtabmap/odom_info_lite,1780713871.777521372,0,0,0,0,0.327013,0
/rtabmap/odom_info,1780713871.779101610,0,0,0,0,0.327013,0
/rtabmap/odom_info_lite,1780713872.042044878,0,0,0,0,0.343693,0
/rtabmap/odom_info,1780713872.042638540,0,0,0,0,0.343693,0
/rtabmap/odom_info_lite,1780713872.278897762,0,0,0,0,0.349756,0
/rtabmap/odom_info,1780713872.279580355,0,0,0,0,0.349756,0
/rtabmap/odom_info_lite,1780713872.579945803,0,0,0,0,0.226938,0
/rtabmap/odom_info,1780713872.580647945,0,0,0,0,0.226938,0
/rtabmap/odom_info_lite,1780713872.765944958,0,0,0,0,0.345151,0
/rtabmap/odom_info,1780713872.768451929,0,0,0,0,0.345151,0
/rtabmap/odom_info_lite,1780713872.992841721,0,0,0,0,0.360992,0
/rtabmap/odom_info,1780713872.993509769,0,0,0,0,0.360992,0
/rtabmap/odom_info_lite,1780713873.187431574,0,0,0,0,0.369218,0
/rtabmap/odom_info,1780713873.188133478,0,0,0,0,0.369218,0
/rtabmap/odom_info_lite,1780713873.543812037,0,0,0,0,0.366461,0
/rtabmap/odom_info,1780713873.544713020,0,0,0,0,0.366461,0
/rtabmap/odom_info_lite,1780713873.809760809,0,0,0,0,0.415158,0
/rtabmap/odom_info,1780713873.811614752,0,0,0,0,0.415158,0
/rtabmap/odom_info_lite,1780713874.108308315,0,0,0,0,0.405433,0
/rtabmap/odom_info,1780713874.110064983,0,0,0,0,0.405433,0
/rtabmap/odom_info_lite,1780713874.432776451,0,0,0,0,0.448612,0
/rtabmap/odom_info,1780713874.436118841,0,0,0,0,0.448612,0
