topic,t,lost,matches,inliers,features,icp_inliers_ratio,local_map_size
/rtabmap/odom_info,1780715167.776802778,0,0,0,0,0.442462,0
/rtabmap/odom_info_lite,1780715168.103451252,0,0,0,0,0.451174,0
/rtabmap/odom_info_lite,1780715168.362769842,0,0,0,0,0.470854,0
/rtabmap/odom_info,1780715168.365283728,0,0,0,0,0.470854,0
/rtabmap/odom_info_lite,1780715168.651816845,0,0,0,0,0.480142,0
/rtabmap/odom_info,1780715168.653414011,0,0,0,0,0.480142,0
/rtabmap/odom_info_lite,1780715168.966779470,0,0,0,0,0.444103,0
/rtabmap/odom_info,1780715168.973009348,0,0,0,0,0.444103,0
/rtabmap/odom_info_lite,1780715169.257328510,0,0,0,0,0.489777,0
/rtabmap/odom_info,1780715169.259874582,0,0,0,0,0.489777,0
/rtabmap/odom_info_lite,1780715169.578044415,0,0,0,0,0.431747,0
/rtabmap/odom_info,1780715169.579224825,0,0,0,0,0.431747,0
/rtabmap/odom_info_lite,1780715169.903130531,0,0,0,0,0.489130,0
/rtabmap/odom_info,1780715169.905083179,0,0,0,0,0.489130,0
/rtabmap/odom_info_lite,1780715170.236023903,0,0,0,0,0.497215,0
/rtabmap/odom_info,1780715170.238171577,0,0,0,0,0.497215,0
/rtabmap/odom_info_lite,1780715170.544289351,0,0,0,0,0.448024,0
/rtabmap/odom_info,1780715170.547887802,0,0,0,0,0.448024,0
/rtabmap/odom_info_lite,1780715170.879988670,0,0,0,0,0.458609,0
/rtabmap/odom_info,1780715170.882586718,0,0,0,0,0.458609,0
/rtabmap/odom_info_lite,1780715171.197574139,0,0,0,0,0.502826,0
/rtabmap/odom_info,1780715171.200384855,0,0,0,0,0.502826,0
/rtabmap/odom_info_lite,1780715171.472130060,0,0,0,0,0.506122,0
/rtabmap/odom_info,1780715171.476953268,0,0,0,0,0.506122,0
/rtabmap/odom_info_lite,1780715171.768077850,0,0,0,0,0.500205,0
/rtabmap/odom_info,1780715171.769712448,0,0,0,0,0.500205,0
/rtabmap/odom_info_lite,1780715172.141871452,0,0,0,0,0.482101,0
/rtabmap/odom_info,1780715172.143233538,0,0,0,0,0.482101,0
/rtabmap/odom_info_lite,1780715172.391570091,0,0,0,0,0.446673,0
/rtabmap/odom_info,1780715172.394110918,0,0,0,0,0.446673,0
/rtabmap/odom_info_lite,1780715172.770873547,0,0,0,0,0.468325,0
/rtabmap/odom_info,1780715172.772756815,0,0,0,0,0.468325,0
/rtabmap/odom_info_lite,1780715173.159519196,0,0,0,0,0.512037,0
/rtabmap/odom_info,1780715173.161264896,0,0,0,0,0.512037,0
/rtabmap/odom_info_lite,1780715173.505178213,0,0,0,0,0.466184,0
/rtabmap/odom_info,1780715173.507486820,0,0,0,0,0.466184,0
/rtabmap/odom_info_lite,1780715173.790916443,0,0,0,0,0.484259,0
/rtabmap/odom_info,1780715173.793411970,0,0,0,0,0.484259,0
/rtabmap/odom_info_lite,1780715174.105478287,0,0,0,0,0.473520,0
/rtabmap/odom_info,1780715174.106637716,0,0,0,0,0.473520,0
/rtabmap/odom_info_lite,1780715174.423239231,0,0,0,0,0.456529,0
/rtabmap/odom_info,1780715174.424497366,0,0,0,0,0.456529,0
/rtabmap/odom_info,1780715174.687648773,0,0,0,0,0.472636,0
/rtabmap/odom_info_lite,1780715174.688560963,0,0,0,0,0.472636,0
/rtabmap/odom_info_lite,1780715175.007302761,0,0,0,0,0.446004,0
/rtabmap/odom_info,1780715175.007938862,0,0,0,0,0.446004,0
/rtabmap/odom_info_lite,1780715175.380897999,0,0,0,0,0.354229,0
/rtabmap/odom_info,1780715175.382801056,0,0,0,0,0.354229,0
/rtabmap/odom_info_lite,1780715175.634484053,0,0,0,0,0.413301,0
/rtabmap/odom_info,1780715175.635383368,0,0,0,0,0.413301,0
/rtabmap/odom_info_lite,1780715175.836958170,0,0,0,0,0.310099,0
/rtabmap/odom_info,1780715175.837733746,0,0,0,0,0.310099,0
/rtabmap/odom_info_lite,1780715176.038549900,0,0,0,0,0.344926,0
/rtabmap/odom_info,1780715176.040410995,0,0,0,0,0.344926,0
/rtabmap/odom_info_lite,1780715176.283430338,0,0,0,0,0.312098,0
/rtabmap/odom_info,1780715176.284565210,0,0,0,0,0.312098,0
/rtabmap/odom_info_lite,1780715176.537185192,0,0,0,0,0.294518,0
/rtabmap/odom_info,1780715176.538588762,0,0,0,0,0.294518,0
/rtabmap/odom_info_lite,1780715176.780880928,0,0,0,0,0.403569,0
/rtabmap/odom_info,1780715176.781776190,0,0,0,0,0.403569,0
/rtabmap/odom_info_lite,1780715176.998989820,0,0,0,0,0.353332,0
/rtabmap/odom_info,1780715176.999652863,0,0,0,0,0.353332,0
/rtabmap/odom_info_lite,1780715177.209062815,0,0,0,0,0.357446,0
/rtabmap/odom_info,1780715177.210097551,0,0,0,0,0.357446,0
/rtabmap/odom_info_lite,1780715177.511784792,0,0,0,0,0.333892,0
/rtabmap/odom_info,1780715177.512486935,0,0,0,0,0.333892,0
/rtabmap/odom_info_lite,1780715177.776065588,0,0,0,0,0.323254,0
/rtabmap/odom_info,1780715177.776887894,0,0,0,0,0.323254,0
/rtabmap/odom_info_lite,1780715178.020076990,0,0,0,0,0.319024,0
/rtabmap/odom_info,1780715178.021153688,0,0,0,0,0.319024,0
/rtabmap/odom_info_lite,1780715178.253140688,0,0,0,0,0.326505,0
/rtabmap/odom_info,1780715178.254111767,0,0,0,0,0.326505,0
/rtabmap/odom_info,1780715178.449917555,0,0,0,0,0.322049,0
/rtabmap/odom_info_lite,1780715178.457567930,0,0,0,0,0.322049,0
/rtabmap/odom_info_lite,1780715178.678743601,0,0,0,0,0.319423,0
/rtabmap/odom_info,1780715178.679202080,0,0,0,0,0.319423,0
/rtabmap/odom_info_lite,1780715178.930418968,0,0,0,0,0.308374,0
/rtabmap/odom_info,1780715178.931815624,0,0,0,0,0.308374,0
/rtabmap/odom_info_lite,1780715179.090152264,0,0,0,0,0.313990,0
/rtabmap/odom_info,1780715179.090688229,0,0,0,0,0.313990,0
/rtabmap/odom_info_lite,1780715179.240379572,0,0,0,0,0.281523,0
/rtabmap/odom_info,1780715179.241443872,0,0,0,0,0.281523,0
/rtabmap/odom_info_lite,1780715179.446150303,0,0,0,0,0.325000,0
/rtabmap/odom_info,1780715179.447212458,0,0,0,0,0.325000,0
/rtabmap/odom_info_lite,1780715179.641865015,0,0,0,0,0.327590,0
/rtabmap/odom_info,1780715179.642882586,0,0,0,0,0.327590,0
